"City","Date","Retail_Recreation","Grocery_Pharmacy","Parks","Transit_Stations","Workplaces","Residential"
"Sydney","2020-02-15",6,9,25,14,2,-1
"Sydney","2020-02-16",2,13,57,8,0,-1
"Sydney","2020-02-17",-1,6,6,6,9,-1
"Sydney","2020-02-18",3,4,-1,5,7,-1
"Sydney","2020-02-19",2,3,11,7,4,-1
"Sydney","2020-02-20",7,9,23,8,5,-2
"Sydney","2020-02-21",10,7,14,8,9,-2
"Sydney","2020-02-22",7,11,34,13,2,0
"Sydney","2020-02-23",-1,9,6,2,-2,0
"Sydney","2020-02-24",1,6,15,6,8,-1
"Sydney","2020-02-25",3,2,3,12,7,-1
"Sydney","2020-02-26",2,3,7,5,3,0
"Sydney","2020-02-27",11,9,25,9,5,-1
"Sydney","2020-02-28",14,10,15,9,9,-2
"Sydney","2020-02-29",21,20,115,34,0,-2
"Sydney","2020-03-01",-2,5,9,6,-1,-1
"Sydney","2020-03-02",-1,9,0,5,6,0
"Sydney","2020-03-03",-3,9,-20,4,6,1
"Sydney","2020-03-04",-5,10,-24,-1,2,2
"Sydney","2020-03-05",-4,4,-20,2,4,3
"Sydney","2020-03-06",9,16,3,3,8,0
"Sydney","2020-03-07",3,11,30,13,0,1
"Sydney","2020-03-08",-7,6,-8,-4,0,1
"Sydney","2020-03-09",-7,9,-18,7,5,2
"Sydney","2020-03-10",-2,10,-15,-3,6,2
"Sydney","2020-03-11",-2,7,-10,-3,2,1
"Sydney","2020-03-12",0,12,7,-2,0,2
"Sydney","2020-03-13",-2,12,-2,-4,1,3
"Sydney","2020-03-14",-19,2,-33,-21,-4,6
"Sydney","2020-03-15",-23,10,-38,-27,-4,4
"Sydney","2020-03-16",-25,18,-39,-24,-11,10
"Sydney","2020-03-17",-28,20,-37,-32,-20,12
"Sydney","2020-03-18",-36,14,-36,-38,-28,15
"Sydney","2020-03-19",-39,6,-27,-41,-30,16
"Sydney","2020-03-20",-43,-6,-38,-43,-30,17
"Sydney","2020-03-21",-47,-12,-34,-42,-17,11
"Sydney","2020-03-22",-50,-11,-46,-52,-17,8
"Sydney","2020-03-23",-57,-16,-49,-57,-42,21
"Sydney","2020-03-24",-66,-27,-59,-66,-52,27
"Sydney","2020-03-25",-70,-36,-63,-70,-56,29
"Sydney","2020-03-26",-70,-29,-53,-71,-58,30
"Sydney","2020-03-27",-71,-30,-51,-72,-57,31
"Sydney","2020-03-28",-72,-33,-52,-70,-44,20
"Sydney","2020-03-29",-71,-35,-55,-74,-44,17
"Sydney","2020-03-30",-74,-40,-58,-76,-62,30
"Sydney","2020-03-31",-73,-38,-60,-77,-64,31
"Sydney","2020-04-01",-75,-41,-63,-77,-66,33
"Sydney","2020-04-02",-76,-41,-66,-78,-66,34
"Sydney","2020-04-03",-77,-34,-65,-77,-64,36
"Sydney","2020-04-04",-74,-30,-59,-74,-49,22
"Sydney","2020-04-05",-73,-30,-58,-77,-48,17
"Sydney","2020-04-06",-74,-37,-58,-77,-64,30
"Sydney","2020-04-07",-75,-37,-66,-78,-66,32
"Sydney","2020-04-08",-75,-38,-66,-78,-66,33
"Sydney","2020-04-09",-72,-26,-59,-78,-67,32
"Sydney","2020-04-10",-86,-52,-72,-88,-85,44
"Sydney","2020-04-11",-75,-28,-57,-76,-52,22
"Sydney","2020-04-12",-79,-46,-57,-79,-53,19
"Sydney","2020-04-13",-78,-42,-57,-87,-85,35
"Sydney","2020-04-14",-74,-37,-62,-79,-65,32
"Sydney","2020-04-15",-74,-39,-57,-77,-66,32
"Sydney","2020-04-16",-75,-32,-56,-77,-65,33
"Sydney","2020-04-17",-75,-29,-54,-76,-63,34
"Sydney","2020-04-18",-72,-26,-51,-72,-44,20
"Sydney","2020-04-19",-73,-29,-57,-77,-45,17
"Sydney","2020-04-20",-74,-34,-59,-77,-64,30
"Sydney","2020-04-21",-73,-32,-58,-77,-64,31
"Sydney","2020-04-22",-74,-35,-59,-77,-64,31
"Sydney","2020-04-23",-73,-32,-51,-76,-63,32
"Sydney","2020-04-24",-74,-30,-56,-76,-61,33
"Sydney","2020-04-25",-73,-29,-48,-75,-49,20
"Sydney","2020-04-26",-71,-26,-58,-76,-43,16
"Sydney","2020-04-27",-74,-35,-62,-78,-63,30
"Sydney","2020-04-28",-72,-34,-62,-77,-61,31
"Sydney","2020-04-29",-73,-35,-59,-76,-63,31
"Sydney","2020-04-30",-76,-42,-70,-76,-64,34
"Sydney","2020-05-01",-72,-29,-57,-74,-59,31
"Sydney","2020-05-02",-69,-25,-53,-68,-41,17
"Sydney","2020-05-03",-68,-28,-50,-71,-39,14
"Sydney","2020-05-04",-71,-35,-55,-74,-60,28
"Sydney","2020-05-05",-71,-35,-60,-75,-60,30
"Sydney","2020-05-06",-70,-34,-54,-74,-61,30
"Sydney","2020-05-07",-70,-34,-49,-73,-60,29
"Sydney","2020-05-08",-70,-30,-49,-72,-57,29
"Sydney","2020-05-09",-65,-24,-43,-63,-37,14
"Sydney","2020-05-10",-66,-30,-52,-67,-34,10
"Sydney","2020-05-11",-69,-37,-51,-73,-58,27
"Sydney","2020-05-12",-68,-35,-55,-72,-57,28
"Sydney","2020-05-13",-69,-37,-53,-72,-59,29
"Sydney","2020-05-14",-70,-35,-60,-72,-58,30
"Sydney","2020-05-15",-69,-35,-66,-70,-56,30
"Sydney","2020-05-16",-60,-24,-45,-59,-35,14
"Sydney","2020-05-17",-58,-29,-47,-61,-32,11
"Sydney","2020-05-18",-65,-35,-54,-70,-56,25
"Sydney","2020-05-19",-63,-33,-53,-71,-55,26
"Sydney","2020-05-20",-63,-33,-50,-70,-56,26
"Sydney","2020-05-21",-65,-33,-57,-70,-57,28
"Sydney","2020-05-22",-65,-28,-61,-70,-54,29
"Sydney","2020-05-23",-57,-22,-53,-60,-32,14
"Sydney","2020-05-24",-59,-27,-60,-66,-33,12
"Sydney","2020-05-25",-68,-42,-70,-71,-56,27
"Sydney","2020-05-26",-62,-29,-59,-69,-54,27
"Sydney","2020-05-27",-62,-31,-50,-68,-54,26
"Sydney","2020-05-28",-59,-27,-37,-65,-52,25
"Sydney","2020-05-29",-63,-32,-59,-66,-51,27
"Sydney","2020-05-30",-51,-21,-22,-51,-28,10
"Sydney","2020-05-31",-52,-26,-39,-55,-27,9
"Sydney","2020-06-01",-56,-33,-43,-64,-49,22
"Sydney","2020-06-02",-59,-37,-60,-65,-50,25
"Sydney","2020-06-03",-57,-36,-50,-64,-51,24
"Sydney","2020-06-04",-55,-33,-45,-63,-49,23
"Sydney","2020-06-05",-52,-30,-42,-60,-49,21
"Sydney","2020-06-06",-43,-26,-26,-39,-29,7
"Sydney","2020-06-07",-47,-35,-56,-52,-28,7
"Sydney","2020-06-08",-56,-35,-46,-75,-78,22
"Sydney","2020-06-09",-57,-32,-56,-65,-49,23
"Sydney","2020-06-10",-60,-42,-66,-65,-50,26
"Sydney","2020-06-11",-52,-30,-37,-60,-48,22
"Sydney","2020-06-12",-53,-33,-55,-59,-46,23
"Sydney","2020-06-13",-39,-19,-26,-40,-16,8
"Sydney","2020-06-14",-41,-21,-36,-46,-17,7
"Sydney","2020-06-15",-53,-32,-41,-60,-47,20
"Sydney","2020-06-16",-51,-31,-45,-60,-46,21
"Sydney","2020-06-17",-53,-34,-56,-60,-48,23
"Sydney","2020-06-18",-48,-29,-37,-58,-46,21
"Sydney","2020-06-19",-45,-26,-39,-54,-45,20
"Sydney","2020-06-20",-34,-20,-14,-34,-14,6
"Sydney","2020-06-21",-41,-22,-45,-47,-15,7
"Sydney","2020-06-22",-52,-31,-48,-59,-47,20
"Sydney","2020-06-23",-49,-31,-49,-59,-46,21
"Sydney","2020-06-24",-49,-31,-47,-57,-47,21
"Sydney","2020-06-25",-45,-28,-33,-55,-46,19
"Sydney","2020-06-26",-43,-25,-36,-52,-43,19
"Sydney","2020-06-27",-34,-18,-28,-38,-18,7
"Sydney","2020-06-28",-39,-21,-39,-44,-15,6
"Sydney","2020-06-29",-50,-31,-49,-59,-46,20
"Sydney","2020-06-30",-46,-33,-46,-57,-44,19
"Sydney","2020-07-01",-46,-34,-40,-56,-45,19
"Sydney","2020-07-02",-43,-30,-29,-54,-45,18
"Sydney","2020-07-03",-40,-28,-33,-50,-43,18
"Sydney","2020-07-04",-32,-21,-22,-36,-16,6
"Sydney","2020-07-05",-34,-21,-20,-37,-16,4
"Sydney","2020-07-06",-46,-31,-33,-56,-47,18
"Sydney","2020-07-07",-45,-32,-46,-56,-47,20
"Sydney","2020-07-08",-44,-32,-44,-55,-47,19
"Sydney","2020-07-09",-39,-26,-26,-52,-46,18
"Sydney","2020-07-10",-39,-28,-37,-50,-44,18
"Sydney","2020-07-11",-33,-23,-34,-36,-15,7
"Sydney","2020-07-12",-35,-23,-33,-43,-13,5
"Sydney","2020-07-13",-47,-31,-41,-57,-48,18
"Sydney","2020-07-14",-52,-39,-62,-60,-49,22
"Sydney","2020-07-15",-46,-34,-52,-57,-47,20
"Sydney","2020-07-16",-43,-33,-42,-56,-46,19
"Sydney","2020-07-17",-43,-31,-45,-55,-45,19
"Sydney","2020-07-18",-34,-23,-24,-36,-15,6
"Sydney","2020-07-19",-36,-22,-23,-41,-14,4
"Sydney","2020-07-20",-50,-34,-37,-58,-45,18
"Sydney","2020-07-21",-49,-35,-45,-59,-43,19
"Sydney","2020-07-22",-49,-37,-41,-58,-44,19
"Sydney","2020-07-23",-47,-34,-31,-57,-44,18
"Sydney","2020-07-24",-46,-33,-37,-55,-42,18
"Sydney","2020-07-25",-39,-28,-32,-43,-17,8
"Sydney","2020-07-26",-53,-42,-68,-61,-21,11
"Sydney","2020-07-27",-58,-43,-64,-62,-48,21
"Sydney","2020-07-28",-53,-37,-51,-61,-45,21
"Sydney","2020-07-29",-50,-38,-40,-59,-46,19
"Sydney","2020-07-30",-49,-35,-35,-58,-45,19
"Sydney","2020-07-31",-48,-33,-38,-57,-44,18
"Sydney","2020-08-01",-41,-28,-19,-44,-16,6
"Sydney","2020-08-02",-44,-27,-30,-51,-17,4
"Sydney","2020-08-03",-53,-35,-37,-61,-47,18
"Sydney","2020-08-04",-52,-36,-43,-60,-45,19
"Sydney","2020-08-05",-53,-38,-42,-60,-46,20
"Sydney","2020-08-06",-51,-33,-31,-59,-45,19
"Sydney","2020-08-07",-56,-39,-60,-61,-44,22
"Sydney","2020-08-08",-43,-26,-40,-51,-17,9
"Sydney","2020-08-09",-52,-34,-63,-61,-20,9
"Sydney","2020-08-10",-56,-37,-52,-63,-47,20
"Sydney","2020-08-11",-51,-34,-46,-61,-43,19
"Sydney","2020-08-12",-52,-35,-44,-60,-45,19
"Sydney","2020-08-13",-48,-30,-25,-58,-45,18
"Sydney","2020-08-14",-50,-33,-47,-58,-43,19
"Sydney","2020-08-15",-41,-20,-24,-43,-18,6
"Sydney","2020-08-16",-43,-25,-29,-49,-17,4
"Sydney","2020-08-17",-53,-35,-39,-60,-46,18
"Sydney","2020-08-18",-53,-35,-43,-60,-44,18
"Sydney","2020-08-19",-53,-36,-44,-60,-45,19
"Sydney","2020-08-20",-50,-33,-35,-59,-43,18
"Sydney","2020-08-21",-48,-32,-40,-57,-41,17
"Sydney","2020-08-22",-41,-26,-31,-45,-14,6
"Sydney","2020-08-23",-43,-27,-35,-52,-17,4
"Sydney","2020-08-24",-53,-37,-37,-60,-44,17
"Sydney","2020-08-25",-50,-36,-44,-60,-42,18
"Sydney","2020-08-26",-51,-38,-39,-58,-44,18
"Sydney","2020-08-27",-49,-36,-26,-56,-41,17
"Sydney","2020-08-28",-45,-32,-35,-55,-40,16
"Sydney","2020-08-29",-39,-25,-18,-38,-15,4
"Sydney","2020-08-30",-43,-28,-25,-43,-17,1
"Sydney","2020-08-31",-53,-38,-41,-59,-44,17
"Sydney","2020-09-01",-51,-36,-42,-59,-42,17
"Sydney","2020-09-02",-51,-36,-39,-58,-42,17
"Sydney","2020-09-03",-47,-35,-25,-53,-41,16
"Sydney","2020-09-04",-49,-36,-54,-54,-40,18
"Sydney","2020-09-05",-38,-23,-14,-37,-15,4
"Sydney","2020-09-06",-42,-26,-28,-46,-15,1
"Sydney","2020-09-07",-53,-38,-35,-56,-43,16
"Sydney","2020-09-08",-50,-37,-41,-55,-42,16
"Sydney","2020-09-09",-55,-43,-63,-57,-43,19
"Sydney","2020-09-10",-47,-35,-32,-53,-39,16
"Sydney","2020-09-11",-43,-30,-36,-51,-37,15
"Sydney","2020-09-12",-34,-25,-13,-36,-10,3
"Sydney","2020-09-13",-39,-26,-28,-44,-12,3
"Sydney","2020-09-14",-51,-37,-32,-54,-38,16
"Sydney","2020-09-15",-48,-35,-43,-54,-36,16
"Sydney","2020-09-16",-47,-36,-35,-51,-38,16
"Sydney","2020-09-17",-46,-37,-26,-51,-36,15
"Sydney","2020-09-18",-45,-35,-44,-50,-36,16
"Sydney","2020-09-19",-33,-26,-18,-36,-9,5
"Sydney","2020-09-20",-41,-30,-38,-49,-13,5
"Sydney","2020-09-21",-50,-37,-29,-53,-38,15
"Sydney","2020-09-22",-47,-35,-35,-53,-37,16
"Sydney","2020-09-23",-48,-36,-38,-52,-38,16
"Sydney","2020-09-24",-45,-34,-28,-51,-36,15
"Sydney","2020-09-25",-43,-34,-44,-50,-36,17
"Sydney","2020-09-26",-32,-21,-21,-34,-7,4
"Sydney","2020-09-27",-36,-24,-25,-39,-10,3
"Sydney","2020-09-28",-48,-36,-30,-54,-41,16
"Sydney","2020-09-29",-45,-34,-35,-53,-39,16
"Sydney","2020-09-30",-46,-36,-45,-52,-41,16
"Sydney","2020-10-01",-41,-33,-25,-50,-38,14
"Sydney","2020-10-02",-39,-28,-31,-48,-38,14
"Sydney","2020-10-03",-33,-23,-11,-31,-13,1
"Sydney","2020-10-04",-30,-26,-14,-26,-12,-1
"Sydney","2020-10-05",-51,-40,-23,-67,-76,15
"Sydney","2020-10-06",-48,-34,-46,-55,-41,16
"Sydney","2020-10-07",-48,-37,-47,-52,-40,17
"Sydney","2020-10-08",-44,-34,-29,-51,-38,15
"Sydney","2020-10-09",-37,-30,-24,-47,-37,14
"Sydney","2020-10-10",-30,-22,2,-28,-8,2
"Sydney","2020-10-11",-36,-24,-22,-38,-9,2
"Sydney","2020-10-12",-51,-37,-32,-53,-37,15
"Sydney","2020-10-13",-46,-35,-36,-52,-35,14
"Sydney","2020-10-14",-46,-36,-39,-51,-36,15
"Sydney","2020-10-15",-43,-35,-24,-48,-33,14
"Sydney","2020-10-16",-40,-31,-40,-48,-33,14
"Sydney","2020-10-17",-29,-22,-11,-30,-7,4
"Sydney","2020-10-18",-35,-20,-35,-43,-10,4
"Sydney","2020-10-19",-49,-36,-40,-52,-37,15
"Sydney","2020-10-20",-45,-33,-44,-51,-34,15
"Sydney","2020-10-21",-45,-33,-37,-50,-34,14
"Sydney","2020-10-22",-41,-33,-26,-49,-32,14
"Sydney","2020-10-23",-36,-28,-30,-46,-31,12
"Sydney","2020-10-24",-34,-24,-35,-37,-7,6
"Sydney","2020-10-25",-42,-29,-60,-51,-9,7
"Sydney","2020-10-26",-55,-39,-60,-56,-38,17
"Sydney","2020-10-27",-45,-30,-49,-52,-34,15
"Sydney","2020-10-28",-45,-33,-45,-50,-34,15
"Sydney","2020-10-29",-43,-32,-38,-49,-31,14
"Sydney","2020-10-30",-36,-27,-34,-45,-32,12
"Sydney","2020-10-31",-32,-22,-35,-34,-8,4
"Sydney","2020-11-01",-43,-29,-61,-50,-12,7
"Sydney","2020-11-02",-47,-33,-37,-52,-35,14
"Sydney","2020-11-03",-39,-33,-41,-48,-32,12
"Sydney","2020-11-04",-45,-36,-44,-49,-35,14
"Sydney","2020-11-05",-49,-44,-62,-51,-34,18
