iata_code,name,latitude,longitude,country,city
,Total Rf Heliport,40.07080078,-74.93360138,US,Bensalem
,Aero B Ranch Airport,38.704022,-101.473911,US,Leoti
,Lowell Field,59.94919968,-151.6959991,US,Anchor Point
,Epps Airpark,34.8647995,-86.77030182,US,Harvest
,Newport Hospital & Clinic Heliport,35.6087,-91.254898,US,Newport
,Fulton Airport,34.9428028,-97.8180194,US,Alex
,Cordes Airport,34.30559921,-112.1650009,US,Cordes
,Goldstone /Gts/ Airport,35.3504982,-116.8880005,US,Barstow
,Williams Ag Airport,39.427188,-121.763427,US,Biggs
,Kitchen Creek Helibase Heliport,32.7273736,-116.4597417,US,Pine Valley
,Cass Field,40.622202,-104.344002,US,Briggsdale
,Grass Patch Airport,28.64550018,-82.21900177,US,Bushnell
,Ringhaver Heliport,28.84659958,-82.34539795,US,Riverview
,River Oak Airport,27.23089981,-80.96920013,US,Okeechobee
,Lt World Airport,33.76750183,-84.06829834,US,Lithonia
,Caffrey Heliport,33.88420105,-84.73390198,US,Hiram
,Kaupulehu Heliport,19.832715,-155.980233,US,Kailua-Kona
,Delta Shores Airport,48.14530182,-116.2139969,US,Clark Fork
,Goltl Airport,39.724028,-101.395994,US,McDonald
,Bailey Generation Station Heliport,41.64450073,-87.12280273,US,Chesterton
,Hammer Airport,41.97840118,-89.56040192,US,Polo
,St Mary Medical Center Heliport,41.51139832,-87.26059723,US,Hobart
,Hayenga's Cant Find Farms Airport,40.02560043,-89.12290192,US,Kings
,Hayden Farm Airport,38.72779846,-94.93049622,US,Gardner
,Robbins Roost Airport,37.40940094,-84.61969757,US,Stanford
,Shell Chemical East Site Heliport,30.191944,-90.980833,US,Gonzales
,Ac & R Components Heliport,39.66529846,-89.70559692,US,Chatham
,Lejeune Airport,30.13629913,-92.42939758,US,Esterwood
,Slater Field,38.75709915,-75.75379944,US,Federalsburg
,Dow Chemical Heliport,43.94940186,-86.41670227,US,Ludington
,Battle Lake Municipal Airport,46.29999924,-95.70030212,US,Battle Lake
